"sen.slope","sen.slope.pct","p.value","S","varS","miss","tau","nie_malla_modi_id"
0.889,1.38,0.78334,6,330.67,0,0.066,"1637551"
0,0,1,1,329.67,0,0.011,"1637552"
1,1.53,0.82563,5,329.67,0,0.055,"1637553"
0,0,0.86804,4,326,0,0.044,"1637554"
0.167,0.25,0.74004,7,327,0,0.077,"1637555"
1,1.6,0.78334,6,330.67,0,0.066,"1637556"
-1.5,-1.86,0.5818,-11,329.67,0,-0.121,"1637557"
-2,-3.14,0.34839,-18,328.67,0,-0.198,"1637558"
-2,-2.54,0.50995,-13,331.67,0,-0.143,"1637559"
-2,-2.21,0.476,-14,332.67,0,-0.154,"1637560"
